Rate,Timestamp
1.73431,2018-05-18 00:00:00
1.73567,2018-05-19 00:00:00
1.73489,2018-05-20 00:00:00
1.73554,2018-05-21 00:00:00
1.71612,2018-05-22 00:00:00
1.71615,2018-05-23 00:00:00
1.71617,2018-05-24 00:00:00
1.72432,2018-05-25 00:00:00
1.72566,2018-05-26 00:00:00
1.72538,2018-05-27 00:00:00
1.72698,2018-05-28 00:00:00
1.72698,2018-05-29 00:00:00
1.72698,2018-05-30 00:00:00
1.71289,2018-05-31 00:00:00
1.72026,2018-06-01 00:00:00
1.72873,2018-06-02 00:00:00
1.72852,2018-06-03 00:00:00
1.7302,2018-06-04 00:00:00
1.7325,2018-06-05 00:00:00
1.73481,2018-06-06 00:00:00
1.7375,2018-06-07 00:00:00
1.74203,2018-06-08 00:00:00
1.73133,2018-06-09 00:00:00
1.73186,2018-06-10 00:00:00
1.73429,2018-06-11 00:00:00
1.73673,2018-06-12 00:00:00
1.74079,2018-06-13 00:00:00
1.73618,2018-06-14 00:00:00
1.73876,2018-06-15 00:00:00
1.75305,2018-06-16 00:00:00
1.75252,2018-06-17 00:00:00
1.75208,2018-06-18 00:00:00
1.75164,2018-06-19 00:00:00
1.74923,2018-06-20 00:00:00
1.75291,2018-06-21 00:00:00
1.76425,2018-06-22 00:00:00
1.76056,2018-06-23 00:00:00
1.76083,2018-06-24 00:00:00
1.76109,2018-06-25 00:00:00
1.76569,2018-06-26 00:00:00
1.7586,2018-06-27 00:00:00
1.74883,2018-06-28 00:00:00
1.73317,2018-06-29 00:00:00
1.73428,2018-06-30 00:00:00
1.73539,2018-07-01 00:00:00
1.73657,2018-07-02 00:00:00
1.73319,2018-07-03 00:00:00
1.73432,2018-07-04 00:00:00
1.73821,2018-07-05 00:00:00
1.73717,2018-07-06 00:00:00
1.73818,2018-07-07 00:00:00
1.73918,2018-07-08 00:00:00
1.74113,2018-07-09 00:00:00
1.73782,2018-07-10 00:00:00
1.74283,2018-07-11 00:00:00
1.74442,2018-07-12 00:00:00
1.7427,2018-07-13 00:00:00
1.74099,2018-07-14 00:00:00
1.74122,2018-07-15 00:00:00
1.74032,2018-07-16 00:00:00
1.73884,2018-07-17 00:00:00
1.73036,2018-07-18 00:00:00
1.7287,2018-07-19 00:00:00
1.72703,2018-07-20 00:00:00
1.72708,2018-07-21 05:00:00
1.72578,2018-07-22 09:00:00
1.72553,2018-07-23 14:00:00
1.72892,2018-07-24 18:00:00
1.72087,2018-07-25 23:00:00
1.71256,2018-07-27 03:00:00
1.71156,2018-07-28 08:00:00
1.71077,2018-07-29 12:00:00
1.7099,2018-07-30 16:00:00
1.7077,2018-07-31 21:00:00
1.70585,2018-08-02 01:00:00
1.69538,2018-08-03 06:00:00
1.68911,2018-08-04 10:00:00
1.68891,2018-08-05 15:00:00
1.68316,2018-08-06 19:00:00
1.69048,2018-08-08 00:00:00
1.67637,2018-08-09 04:00:00
1.67263,2018-08-10 09:00:00
1.67838,2018-08-11 13:00:00
1.6779,2018-08-12 18:00:00
1.67565,2018-08-13 22:03:00
1.66023,2018-08-15 03:00:00
1.66877,2018-08-16 07:03:00
1.6723,2018-08-17 12:00:00
1.66556,2018-08-18 16:03:00
